대계열,중계열,소계열,졸업자_계,졸업자_남,졸업자_여,취업률_계,취업률_남,취업률_여,취업자_계,취업자_남,취업자_여,건강보험가입교외취업자_계,건강보험가입교외취업자_남,건강보험가입교외취업자_여,건강보험가입교내취업자_계,건강보험가입교내취업자_남,건강보험가입교내취업자_여,해외취업자_계,해외취업자_남,해외취업자_여,농림어업종사자_계,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_계,개인창작활동종사자_남,개인창작활동종사자_여,1인창(사)업자_계,1인창(사)업자_남,1인창(사)업자_여,프리랜서_계,프리랜서_남,프리랜서_여,진학률_계,진학자_계,진학자_남,진학자_여,입대자,취업불가능자_계,취업불가능자_남,취업불가능자_여,외국인유학생_계,외국인유학생_남,외국인유학생_여,제외인정자_계,제외인정자_남,제외인정자_여,기타_계,기타_남,기타_여,미상_계,미상_남,미상_여
인문계열,언어ㆍ문학,국어ㆍ국문학,37,14,23,57.1,66.7,52.2,20,8,12,15,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,3,5.4,2,2,-,-,-,-,-,-,-,-,-,-,-,15,4,11,-,-,-
인문계열,언어ㆍ문학,일본어ㆍ문학,90,24,66,50,58.3,47,45,14,31,34,11,23,2,1,1,2,1,1,-,-,-,-,-,-,1,-,1,6,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,10,35,-,-,-
인문계열,언어ㆍ문학,중국어ㆍ문학,64,25,39,54.8,50,57.9,34,12,22,33,11,22,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,28,12,16,-,-,-
인문계열,언어ㆍ문학,영미어ㆍ문학,207,92,115,54.2,56.8,52.2,109,50,59,94,43,51,4,2,2,-,-,-,-,-,-,-,-,-,3,1,2,8,4,4,2.4,5,3,2,-,-,-,-,-,-,-,1,1,-,90,38,52,2,-,2
인문계열,인문과학,국제지역학,140,60,80,60.7,58.3,62.5,85,35,50,77,30,47,4,2,2,-,-,-,-,-,-,-,-,-,1,1,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,25,30,-,-,-
사회계열,경영ㆍ경제,경영학,1280,763,517,66.1,66.2,66,807,479,328,717,426,291,15,8,7,5,4,1,-,-,-,4,1,3,16,13,3,50,27,23,0.9,12,9,3,7,-,-,-,35,21,14,5,2,3,398,236,162,16,9,7
사회계열,경영ㆍ경제,경제학,78,49,29,43.2,40,48.3,32,18,14,28,16,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,1.3,1,1,-,-,-,-,-,2,2,-,1,1,-,42,27,15,-,-,-
사회계열,경영ㆍ경제,관광학,35,7,28,85.7,100,82.1,30,7,23,27,6,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,-,-,-
사회계열,경영ㆍ경제,광고·홍보학,114,56,58,59.5,69.1,50,66,38,28,62,37,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,3,1.8,2,1,1,-,-,-,-,-,-,-,1,-,1,45,17,28,-,-,-
사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,126,79,47,52.4,53.2,51.1,66,42,24,61,37,24,2,2,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,33,20,7,4,3
사회계열,경영ㆍ경제,무역ㆍ유통학,224,138,86,67.6,75.2,54.4,146,103,43,139,99,40,2,1,1,-,-,-,-,-,-,-,-,-,2,1,1,3,2,1,0.9,2,-,2,-,-,-,-,4,1,3,2,-,2,70,34,36,-,-,-
사회계열,법률,법학,67,34,33,45.2,40.6,50,28,13,15,27,12,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4.5,3,-,3,-,-,-,-,-,-,-,2,2,-,34,19,15,-,-,-
사회계열,사회과학,가족ㆍ사회ㆍ복지학,319,137,182,59.9,57.3,61.9,179,75,104,157,66,91,8,6,2,1,1,-,-,-,-,-,-,-,3,1,2,10,1,9,1.9,6,2,4,2,-,-,-,2,-,2,10,2,8,120,56,64,-,-,-
사회계열,사회과학,언론ㆍ방송ㆍ매체학,24,9,15,52.2,50,53.3,12,4,8,12,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,11,4,7,-,-,-
사회계열,사회과학,정치외교학,2,1,1,100,100,100,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
사회계열,사회과학,행정학,404,261,143,64.8,65.7,63,254,167,87,230,150,80,11,9,2,-,-,-,-,-,-,-,-,-,9,8,1,4,-,4,1,4,2,2,1,1,1,-,-,-,-,6,3,3,127,82,45,11,5,6
교육계열,유아교육,유아교육학,84,2,82,78,100,77.5,64,2,62,62,1,61,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1.2,1,-,1,-,-,-,-,-,-,-,1,-,1,18,-,18,-,-,-
공학계열,건축,건축ㆍ설비공학,294,252,42,71.2,73.2,59,198,175,23,193,170,23,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,3.7,11,8,3,-,1,1,-,3,3,-,1,1,-,78,62,16,2,2,-
공학계열,건축,건축학,176,122,54,80.6,82.5,76.5,133,94,39,125,88,37,5,5,-,-,-,-,-,-,-,-,-,-,2,-,2,1,1,-,5.1,9,7,2,-,-,-,-,1,1,-,1,-,1,32,20,12,-,-,-
